View,"Pruning Amount","Model Size","Device Memory Size","Inference Time","Violated Model Size","Device Performance",Importance
0,0.652,143.69,143.69,32.8581,,0.89,0.067
1,0.091,434.53,434.53,232.4816,,0.11,0.094
2,0.235,334.50,334.50,78.1495,,0.88,0.074
3,0.834,100.58,100.58,33.6258,,0.61,0.080
4,0.078,444.62,444.62,136.0213,,0.71,0.075
5,0.541,181.25,181.25,64.4157,,0.55,0.092
6,0.186,366.16,366.16,143.8880,,0.46,0.098
7,0.457,215.57,215.57,66.6055,,0.67,0.097
8,0.352,266.42,266.42,75.0575,,0.74,0.082
9,0.329,279.26,279.26,125.2190,,0.29,0.086
10,0.562,173.46,173.46,54.3498,,0.66,0.077
11,0.122,411.43,411.43,143.1689,,0.59,0.078