"Pruning Amount",Accuracy,"Model Size (MB)","Computation Time (s)"," Number Of Filters Remaining"
0.00,0.84940,491.720,8.0753,2752
5.00,0.83610,467.170,7.7761,2614
10.00,0.84670,430.160,7.5516,2476
15.00,0.85030,405.470,7.3009,2339
20.00,0.82820,368.960,7.2411,2201
25.00,0.82030,335.440,7.1772,2064
30.00,0.84420,307.610,6.6244,1926
35.00,0.84420,256.650,6.5780,1651
40.00,0.83420,242.170,6.4380,1513
45.00,0.76480,200.280,6.2866,1376
50.00,0.70360,168.770,5.8352,1100
55.00,0.65344,165.010,5.8122,
65.00,0.60342,161.250,5.4320,963
70.00,0.55320,140.330,4.8787,825
75.00,0.48320,125.295,4.5787,
80.00,0.42450,110.260,4.2080,550
85.00,0.38450,102.800,3.9683,412
90.00,0.25730,96.240,2.4058,275
95.00,0.03030,79.940,2.1167,137
100.00,0.00000,69.140,1.5342,29