Pruning Amount,Accuracy, Time, Memory
0.0%,53.2%,0.09401988983154300,527.7921447753910
0.5%,63.0%,0.1451420783996580,524.0986747741700
1.0%,59.6%,0.12955045700073200,522.724910736084
1.5%,61.2%,0.1479024887084960,518.2804412841800
2.0%,59.4%,0.14755535125732400,514.7274932861330
2.5%,58.8%,0.12110042572021500,511.11370849609400
3.0%,57.8%,0.10787534713745100,500.60795974731400
3.5%,61.6%,0.17385292053222700,498.5569076538090
4.0%,60.6%,0.10346078872680700,499.52506256103500
4.5%,58.2%,0.11351919174194300,491.96264266967800
5.0%,62.8%,0.09800839424133300,495.9903793334960
5.5%,61.0%,0.10531091690063500,473.4162139892580
6.0%,54.6%,0.09942793846130370,480.50504302978500
6.5%,57.6%,0.0885319709777832,480.03045654296900
7.0%,54.4%,0.1634972095489500,477.96783447265600
7.5%,58.0%,0.15395474433898900,465.8336410522460
8.0%,55.2%,0.10047745704650900,466.07022857666000
8.5%,56.2%,0.1168820858001710,463.2597961425780
9.0%,53.2%,0.07805180549621580,463.56020736694300
9.5%,56.4%,0.09929299354553220,470.3978958129880
10.0%,54.6%,0.08006477355957030,447.0760269165040
10.5%,51.0%,0.06611752510070800,463.8878517150880
11.0%,52.6%,0.10672616958618200,461.2796058654790
11.5%,52.4%,0.12881922721862800,438.2079849243160
12.0%,58.2%,0.13054895401001000,449.5113296508790
12.5%,53.8%,0.16185379028320300,447.2647514343260
13.0%,51.8%,0.11588740348815900,441.57656478881800
13.5%,57.2%,0.09501314163208010,432.29065704345700
14.0%,49.0%,0.0839986801147461,426.8074836730960
14.5%,56.8%,0.09005093574523930,418.6575584411620
15.0%,51.2%,0.11440181732177700,419.2431335449220
15.5%,53.4%,0.14575862884521500,418.29846954345700
16.0%,43.6%,0.22595977783203100,421.1908073425290
16.5%,44.6%,0.07673406600952150,409.85262298584000
17.0%,45.8%,0.11550641059875500,397.9972038269040
17.5%,45.8%,0.09936714172363280,413.61293029785200
18.0%,42.6%,0.12506556510925300,392.56029891967800
18.5%,46.8%,0.1156148910522460,408.50672912597700
19.0%,49.6%,0.10665512084960900,397.41305923461900
19.5%,44.4%,0.15572118759155300,387.74468994140600
20.0%,45.6%,0.07840299606323240,385.2170219421390
20.5%,40.0%,0.08221244812011720,383.37884521484400
21.0%,41.6%,0.08739185333251950,380.4842834472660
21.5%,42.8%,0.09856295585632320,385.144229888916
22.0%,41.0%,0.08495664596557620,384.8922538757320
22.5%,35.6%,0.11441779136657700,361.4851722717290
23.0%,35.2%,0.08819890022277830,351.69176483154300
23.5%,40.0%,0.08867812156677250,373.6680107116700
24.0%,44.8%,0.12162446975708000,378.6202621459960
24.5%,38.2%,0.1221320629119870,348.00697326660200
25.0%,41.2%,0.09866142272949220,358.62772369384800
25.5%,41.4%,0.09185433387756350,341.6319389343260
26.0%,35.8%,0.09426712989807130,365.1014099121090
26.5%,34.6%,0.08913803100585940,358.8590850830080
27.0%,39.2%,0.07582998275756840,355.12451934814500
27.5%,31.2%,0.09013938903808590,341.9481391906740
28.0%,30.8%,0.10705852508544900,336.1069679260250
28.5%,36.6%,0.09220051765441900,327.9476013183590
29.0%,35.0%,0.11609625816345200,337.5348014831540
29.5%,35.0%,0.09125614166259770,343.32978439331100
30.0%,33.2%,0.16762590408325200,346.2525215148930
30.5%,32.8%,0.09298944473266600,328.4668388366700
31.0%,30.4%,0.08835196495056150,339.5286064147950
31.5%,31.8%,0.11422109603881800,316.34042739868200
32.0%,26.6%,0.09089922904968260,328.0406188964840
32.5%,33.8%,0.11285400390625,313.3044242858890
33.0%,25.8%,0.1687026023864750,328.05671310424800
33.5%,29.8%,0.09753799438476560,311.65636444091800
34.0%,25.4%,0.08568406105041500,286.5289840698240
34.5%,21.0%,0.10023260116577100,304.152645111084
35.0%,21.4%,0.07297730445861820,309.0721778869630
35.5%,21.0%,0.10470819473266600,317.64350509643600
36.0%,25.0%,0.11478614807128900,282.5494728088380
36.5%,21.2%,0.10517406463623000,308.93198013305700
37.0%,19.6%,0.10653352737426800,282.2181587219240
37.5%,20.0%,0.10572576522827100,301.15710067749000
38.0%,15.8%,0.09210324287414550,290.41087341308600
38.5%,16.2%,0.08360958099365230,280.5884208679200
39.0%,17.4%,0.11189079284668000,284.05752182006800
39.5%,14.8%,0.0850520133972168,281.71459579467800
40.0%,17.2%,0.10989904403686500,283.32986068725600
40.5%,10.6%,0.07225584983825680,282.1510353088380
41.0%,9.6%,0.1067206859588620,272.9656181335450
41.5%,9.6%,0.08741521835327150,274.8920364379880
42.0%,12.6%,0.10691452026367200,280.9586372375490
42.5%,11.4%,0.10042619705200200,266.33000564575200
43.0%,4.2%,0.11453771591186500,280.4170570373540
43.5%,10.8%,0.0879671573638916,276.36902236938500
44.0%,11.8%,0.10672760009765600,224.9420509338380
44.5%,10.6%,0.11654782295227100,264.13508224487300
45.0%,3.6%,0.08042216300964360,257.27929306030300
45.5%,5.6%,0.09398961067199710,249.53479766845700
46.0%,6.2%,0.09604215621948240,281.58777618408200
46.5%,6.4%,0.09221696853637700,243.18460083007800
47.0%,2.2%,0.14734458923339800,244.45062255859400
47.5%,1.2%,0.06963896751403810,232.51644897460900
48.0%,3.6%,0.1100015640258790,237.81212615966800
48.5%,1.0%,0.10398745536804200,228.97406387329100
49.0%,0.2%,0.08415842056274410,243.18306350708000
49.5%,1.6%,0.0798795223236084,233.1068458557130
50.0%,2.6%,0.10484910011291500,235.92196655273400
50.5%,1.0%,0.0999610424041748,221.77822494506800
51.0%,0.8%,0.08719587326049810,233.56105422973600
51.5%,0.8%,0.08588027954101560,244.97970581054700
52.0%,1.2%,0.09589195251464840,240.03884506225600
52.5%,0.8%,0.0926051139831543,245.02182388305700
53.0%,0.4%,0.10469532012939500,218.22661972045900
53.5%,0.2%,0.09912919998168950,215.78893661499000
54.0%,1.4%,0.09992098808288570,224.4414939880370
54.5%,0.8%,0.0902547836303711,210.58847427368200
55.0%,1.8%,0.10176587104797400,198.98203659057600
55.5%,0.4%,0.08093476295471190,224.4965057373050
56.0%,0.2%,0.10942983627319300,203.81442260742200
56.5%,1.8%,0.09151244163513180,191.24663162231400
57.0%,0.4%,0.0886385440826416,213.08135986328100
57.5%,1.0%,0.1096649169921880,210.5953025817870
58.0%,0.2%,0.09595084190368650,205.18081283569300
58.5%,0.6%,0.09227705001831060,188.76449966430700
59.0%,1.0%,0.11074161529541000,209.09537506103500
59.5%,0.2%,0.08857607841491700,197.47489547729500