Pruning Amount, Final Accuracy, Time, Memory
58%, 6.055555555555556%,0.016158660252888996, 141.00799942016602
10%, 53.55555555555555%,0.019351720809936523, 219.48838424682617
25%, 44.0%,0.01739025115966797, 192.97466659545898
8%, 56.888888888888886%,0.015849192937215168, 218.68651580810547
46%, 22.222222222222225%,0.016612768173217773, 166.77188110351562
37%, 24.916666666666668%,0.016408840815226238, 178.48385620117188
54%, 14.222222222222221%,0.016443967819213867, 151.4286766052246
4%, 57.94444444444445%,0.017476876576741535, 229.45275497436523
29%, 40.02777777777778%,0.01836983362833659, 189.6050682067871
34%, 39.52777777777778%,0.02026216189066569, 183.41183471679688
49%, 16.25%,0.016843875249226887, 154.21542739868164
7%, 55.52777777777778%,0.017947038014729817, 225.08610153198242
57%, 8.361111111111112%,0.02098393440246582, 141.70635604858398
26%, 41.55555555555555%,0.016603469848632812, 191.78338623046875
13%, 52.611111111111114%,0.015895366668701172, 212.7522964477539
38%, 34.166666666666664%,0.017251094182332356, 175.60602951049805
45%, 26.63888888888889%,0.01617741584777832, 160.82213973999023
56%, 11.25%,0.017185449600219727, 153.47233200073242
6%, 57.44444444444445%,0.016529083251953125, 221.82178115844727
48%, 21.0%,0.017629384994506836, 164.33596420288086
35%, 25.972222222222225%,0.018539985020955402, 175.36706161499023
44%, 21.333333333333332%,0.01846472422281901, 165.88783264160156
39%, 30.805555555555557%,0.01745883623758952, 177.61633682250977
12%, 49.25%,0.01836570103963216, 213.56716537475586
27%, 37.25%,0.018384456634521484, 192.11303329467773
47%, 23.416666666666668%,0.019031842549641926, 161.73212051391602
9%, 57.5%,0.01802833875020345, 218.0331268310547
24%, 43.69444444444445%,0.017049551010131836, 197.13354110717773
11%, 50.30555555555555%,0.018792152404785156, 220.84917831420898
59%, 6.888888888888889%,0.018503348032633465, 144.3116569519043
28%, 35.833333333333336%,0.017757336298624676, 189.25739669799805
5%, 52.72222222222222%,0.018481731414794922, 225.98486328125
55%, 14.0%,0.015705188115437824, 149.1729965209961
36%, 31.916666666666668%,0.016122738520304363, 184.248779296875
51%, 17.61111111111111%,0.016065597534179688, 152.90703964233398
19%, 50.30555555555555%,0.016327699025472004, 203.9564666748047
1%, 57.27777777777778%,0.01587986946105957, 231.7508659362793
32%, 40.47222222222222%,0.015587488810221354, 187.01320266723633
43%, 26.75%,0.016029516855875652, 161.63621139526367
15%, 48.333333333333336%,0.017083088556925457, 212.43941497802734
20%, 50.138888888888886%,0.015056848526000977, 203.2796974182129
40%, 27.583333333333332%,0.015558481216430664, 174.1986427307129
23%, 46.111111111111114%,0.015435139338175455, 197.7686996459961
16%, 53.25%,0.016481637954711914, 213.43111419677734
2%, 52.638888888888886%,0.05400411287943522, 229.81055068969727
52%, 13.361111111111112%,0.04215470949808756, 160.58486938476562
31%, 40.916666666666664%,0.049222071965535484, 189.28454208374023
17%, 48.72222222222222%,0.06189465522766113, 209.26892852783203
22%, 49.5%,0.04915452003479004, 202.98412322998047
41%, 24.694444444444443%,0.04566772778828939, 178.01193618774414
30%, 42.388888888888886%,0.05065560340881348, 190.65233612060547
53%, 15.388888888888888%,0.04743353525797526, 149.37303924560547
3%, 59.94444444444445%,0.034286101659139, 229.71106338500977
33%, 33.666666666666664%,0.0458378791809082, 189.0452423095703
0%, 58.111111111111114%,0.052907705307006836, 232.44457244873047
18%, 50.5%,0.03453954060872396, 209.16651153564453
50%, 21.11111111111111%,0.05115938186645508, 163.03668212890625
21%, 48.861111111111114%,0.03519709904988607, 203.04869079589844
14%, 52.111111111111114%,0.060457865397135414, 208.24133682250977
42%, 30.0%,0.05569648742675781, 172.26299667358398
56%, 10.0%,0.04676445325215658, 151.8586082458496
6%, 53.05555555555555%,0.04363679885864258, 225.2494010925293
48%, 15.25%,0.057961622873942055, 158.81712341308594
35%, 31.5%,0.05856243769327799, 176.56345748901367
44%, 20.916666666666668%,0.05201824506123861, 170.97705459594727
39%, 27.61111111111111%,0.04826649030049642, 175.47417068481445
12%, 52.69444444444445%,0.05221748352050781, 216.84563827514648
27%, 41.80555555555555%,0.04611778259277344, 192.19150161743164
47%, 19.416666666666668%,0.03561242421468099, 161.11141204833984
24%, 41.611111111111114%,0.058216492335001625, 201.43727111816406
9%, 53.5%,0.0684045950571696, 220.7159309387207
59%, 8.944444444444445%,0.05815696716308594, 145.96357345581055
11%, 50.94444444444445%,0.1279451847076416, 216.51909255981445
5%, 57.05555555555555%,0.054213921229044594, 226.44389724731445
28%, 39.888888888888886%,0.04184993108113607, 185.26362228393555
55%, 12.138888888888888%,0.04155747095743815, 144.6643829345703
36%, 35.333333333333336%,0.04503186543782552, 176.37117767333984
10%, 56.19444444444445%,0.04100720087687174, 217.7752685546875
58%, 10.333333333333334%,0.060627381006876625, 146.64022827148438
8%, 58.05555555555555%,0.04949172337849935, 223.17537307739258
25%, 38.916666666666664%,0.053609609603881836, 193.5901756286621
46%, 21.194444444444443%,0.0485682487487793, 154.55490493774414
37%, 31.36111111111111%,0.037688493728637695, 178.45883560180664
54%, 9.416666666666666%,0.04478319485982259, 158.14501571655273
29%, 43.416666666666664%,0.03400095303853353, 191.91543197631836
4%, 54.833333333333336%,0.04868364334106445, 226.7324676513672
34%, 30.75%,0.035410404205322266, 184.40979766845703
49%, 17.722222222222225%,0.045876661936442055, 162.54638290405273
7%, 52.388888888888886%,0.0446321964263916, 219.40339279174805
57%, 9.416666666666666%,0.04809943834940592, 147.23781967163086
26%, 36.77777777777778%,0.03839691480000814, 193.3626480102539
13%, 50.611111111111114%,0.055789550145467125, 209.53142166137695
38%, 29.972222222222225%,0.04179938634236654, 174.99024963378906
45%, 25.555555555555557%,0.05459944407145182, 168.01604843139648
17%, 48.138888888888886%,0.06513134638468425, 208.28524017333984
22%, 48.888888888888886%,0.04402844111124674, 193.9803009033203
41%, 24.805555555555557%,0.03408662478129069, 168.4809799194336
30%, 38.916666666666664%,0.06482434272766113, 188.30327987670898
53%, 11.583333333333334%,0.05805619557698568, 150.98670959472656
3%, 58.388888888888886%,0.14618984858194986, 227.41178131103516
33%, 33.138888888888886%,0.040831565856933594, 184.65205001831055
0%, 53.44444444444445%,0.06794897715250652, 233.08120727539062
50%, 16.527777777777775%,0.04638822873433431, 161.3893280029297
18%, 47.02777777777778%,0.06496715545654297, 202.95795822143555
21%, 46.05555555555555%,0.059158722559611, 198.70621490478516
14%, 48.888888888888886%,0.044103145599365234, 209.81615829467773
42%, 28.722222222222225%,0.05411537488301595, 171.23821258544922
19%, 49.638888888888886%,0.055683294932047524, 211.25653457641602
51%, 13.138888888888888%,0.07259988784790039, 154.54044342041016
1%, 58.583333333333336%,0.034147183100382485, 229.9841537475586
32%, 35.80555555555555%,0.05403431256612142, 185.26961517333984
43%, 25.805555555555557%,0.13750314712524414, 170.48120498657227
15%, 47.388888888888886%,0.053945700327555336, 213.03372192382812
20%, 46.5%,0.10670558611551921, 205.99820709228516
40%, 27.416666666666668%,0.05757610003153483, 175.95145797729492
23%, 48.611111111111114%,0.08220497767130534, 198.90747451782227
16%, 46.47222222222222%,0.048448403676350914, 209.46403121948242
2%, 63.72222222222222%,0.06956720352172852, 230.4605369567871
52%, 11.0%,0.04566566149393717, 152.814697265625
31%, 40.0%,0.06925614674886067, 186.58398818969727
